"Sample" "Tissue" "Condition"
"188" "GSM3985449" "Retina_Macula" "AMD"
"189" "GSM3985450" "Retina_non-Macula" "AMD"
"190" "GSM3985451" "Retina_non-Macula" "Control"
"191" "GSM3985452" "RPE_non-Macula" "Control"
"192" "GSM3985453" "RPE_non-Macula" "Control"
"193" "GSM3985454" "Retina_non-Macula" "Control"
"194" "GSM3985455" "RPE_non-Macula" "Control"
"195" "GSM3985456" "Retina_non-Macula" "Control"
"196" "GSM3985457" "Retina_Macula" "Control"
"197" "GSM3985458" "RPE_non-Macula" "Control"
"198" "GSM3985459" "RPE_Macula" "Control"
"199" "GSM3985460" "RPE_non-Macula" "AMD"
"200" "GSM3985461" "Retina_non-Macula" "AMD"
"201" "GSM3985462" "RPE_non-Macula" "Control"
"202" "GSM3985463" "RPE_non-Macula" "Control"
"203" "GSM3985464" "RPE_Macula" "Control"
"204" "GSM3985465" "Retina_Macula" "Control"
"205" "GSM3985466" "RPE_non-Macula" "Control"
"206" "GSM3985467" "RPE_non-Macula" "Control"
"207" "GSM3985468" "Retina_Macula" "Control"
"208" "GSM3985469" "Retina_non-Macula" "Control"
"209" "GSM3985470" "Retina_non-Macula" "Control"
"210" "GSM3985471" "RPE_Macula" "Control"
"211" "GSM3985472" "RPE_non-Macula" "Control"
"212" "GSM3985473" "Retina_Macula" "Control"
"213" "GSM3985474" "Retina_Macula" "Control"
"214" "GSM3985475" "RPE_Macula" "Control"
"215" "GSM3985476" "Retina_non-Macula" "AMD"
"216" "GSM3985477" "RPE_non-Macula" "AMD"
"217" "GSM3985478" "Retina_non-Macula" "Control"
"218" "GSM3985479" "Retina_Macula" "Control"
"219" "GSM3985480" "Retina_non-Macula" "Control"
"220" "GSM3985481" "RPE_non-Macula" "Control"
"221" "GSM3985482" "RPE_Macula" "Control"
"222" "GSM3985483" "RPE_non-Macula" "Control"
"223" "GSM3985484" "Retina_non-Macula" "Control"
"224" "GSM3985485" "Retina_non-Macula" "Control"
"225" "GSM3985486" "RPE_non-Macula" "Control"
"226" "GSM3985487" "RPE_non-Macula" "Control"
"227" "GSM3985488" "RPE_Macula" "Control"
"228" "GSM3985489" "RPE_non-Macula" "AMD"
"229" "GSM3985490" "Retina_Macula" "Control"
"230" "GSM3985491" "RPE_Macula" "Control"
"231" "GSM3985492" "RPE_non-Macula" "Control"
"232" "GSM3985493" "Retina_non-Macula" "Control"
"233" "GSM3985494" "Retina_non-Macula" "Control"
